time,base_to_forearm_joint,forearm_to_hand_joint,left_finger_joint,right_finger_joint
0.1195368766784668,0.0013522400068199452,0.0011643311003140613,-1.799461456628876e-16,-1.7990397845694998e-16
0.11986947059631348,0.0013522400068221745,0.0011643311003289851,-1.798938871181738e-16,-1.799239277769237e-16
0.12008094787597656,0.0013522400068244039,0.001164331100343909,-1.7997845488762768e-16,-1.7992848142604814e-16
0.12028360366821289,0.001352240006826633,0.0011643311003588328,-1.7993465311985926e-16,-1.799080984252054e-16
0.12234640121459961,0.0013522400068288621,0.0011643311003737566,-1.7993356891768678e-16,-1.799310835112621e-16
0.12275409698486328,0.0013522400068310912,0.0011643311003886804,-1.7994072465202519e-16,-1.7995558648036028e-16
0.12297630310058594,0.0013522400068333204,0.0011643311004036043,-1.7989085135209085e-16,-1.7994951494819435e-16
0.12319183349609375,0.0013522400068355495,0.0011643311004185279,-1.8000274101629134e-16,-1.7991720572345429e-16
0.1234903335571289,0.0013522400068377786,0.0011643311004334515,-1.7998669482413857e-16,-1.7991026682955037e-16
0.12370800971984863,0.0013522400068400077,0.001164331100448375,-1.7994831406723258e-16,-1.79938022405166e-16
0.14293622970581055,0.0013522400068422368,0.0011643311004632987,-1.79954168758964e-16,-1.7992674670257215e-16
0.14322161674499512,0.001352240006844466,0.0011643311004782223,-1.799242447790034e-16,-1.7994517813950442e-16
0.14345836639404297,0.001352240006846695,0.0011643311004931457,-1.7995134983331554e-16,-1.799685969064301e-16
0.14367127418518066,0.0013522400068489242,0.001164331100508069,-1.7996457709981987e-16,-1.7992522881953066e-16
0.1439061164855957,0.0013522400068511533,0.0011643311005229925,-1.7993031631116932e-16,-1.7991785624475776e-16
0.14409708976745605,0.0013522400068533824,0.0011643311005379159,-1.7990603018250566e-16,-1.7994062449037996e-16
0.1451706886291504,0.0013522400068556116,0.0011643311005528393,-1.7991166803380257e-16,-1.799603569699192e-16
0.14693760871887207,0.0013522400068578407,0.0011643311005677625,-1.7998734534544207e-16,-1.7992327725562018e-16
0.1472163200378418,0.0013522400068600698,0.0011643311005826858,-1.7990169337381572e-16,-1.7994929810775984e-16
0.14748883247375488,0.001352240006862299,0.001164331100597609,-1.7996002345069544e-16,-1.7993195087300006e-16
0.1476738452911377,0.001352240006864528,0.0011643311006125322,-1.799320510346453e-16,-1.7992457829822716e-16
0.15290260314941406,0.001352240006866757,0.0011643311006274554,-1.799548192802675e-16,-1.7992696354300662e-16
0.15373611450195312,0.0013522400068689858,0.0011643311006423785,-1.7993443627942477e-16,-1.7994734654384936e-16
0.15779876708984375,0.0013522400068712147,0.0011643311006573017,-1.7994571198201862e-16,-1.7991525415954378e-16
0.16463088989257812,0.0013522400068734437,0.0011643311006722247,-1.7992836474725885e-16,-1.7995558648036025e-16
0.16493964195251465,0.0013522400068756726,0.0011643311006871476,-1.7989670604382228e-16,-1.7993086667082758e-16
0.16749978065490723,0.0013522400068779015,0.0011643311007020706,-1.7990060917164323e-16,-1.7996903058729908e-16
0.16786646842956543,0.0013522400068801304,0.0011643311007169936,-1.7997541912154474e-16,-1.7993260139430356e-16
0.17772293090820312,0.0013522400068823593,0.0011643311007319165,-1.799719496745928e-16,-1.799369382029935e-16
0.17804622650146484,0.0013522400068845882,0.0011643311007468393,-1.799411583328942e-16,-1.7995753804427073e-16
0.17827916145324707,0.001352240006886817,0.001164331100761762,-1.7992251005552744e-16,-1.799154709999783e-16
0.18295598030090332,0.001352240006889046,0.0011643311007766847,-1.7991275223597508e-16,-1.7996556114034713e-16
0.18575024604797363,0.0013522400068912749,0.0011643311007916075,-1.7994788038636362e-16,-1.7992110885127522e-16
0.19765663146972656,0.0013522400068935038,0.0011643311008065302,-1.7991839008727202e-16,-1.7993368559647605e-16
0.19804668426513672,0.0013522400068957327,0.001164331100821453,-1.799439772585427e-16,-1.799286982664826e-16
0.20669054985046387,0.0013522400068979616,0.0011643311008363757,-1.7991166803380262e-16,-1.7993563716038652e-16
0.2116844654083252,0.0013522400069001905,0.0011643311008512982,-1.7994788038636364e-16,-1.7992349409605468e-16
0.2161083221435547,0.0013522400069024194,0.0011643311008662208,-1.7993161735377635e-16,-1.7996035696991918e-16
0.218719482421875,0.001352240006904648,0.0011643311008811433,-1.7994332673723919e-16,-1.799211088512752e-16
0.23876595497131348,0.0013522400069068768,0.0011643311008960658,-1.799431098968047e-16,-1.7991243523389531e-16
0.23901057243347168,0.0013522400069091054,0.0011643311009109883,-1.7988391245818698e-16,-1.7994474445863538e-16
0.23919367790222168,0.0013522400069113341,0.0011643311009259106,-1.7993617100290078e-16,-1.7993303507517255e-16
0.23947548866271973,0.0013522400069135628,0.001164331100940833,-1.7989995865033976e-16,-1.7996838006599558e-16
0.23967361450195312,0.0013522400069157915,0.0011643311009557553,-1.7990819858685065e-16,-1.7994300973515942e-16
0.23990464210510254,0.0013522400069180202,0.0011643311009706776,-1.7994050781159072e-16,-1.7990788158477088e-16
0.2400832176208496,0.0013522400069202489,0.0011643311009855999,-1.7993140051334183e-16,-1.7993325191560704e-16
0.24032354354858398,0.0013522400069224776,0.001164331101000522,-1.7993812256681123e-16,-1.79935854000821e-16
0.24052810668945312,0.0013522400069247062,0.001164331101015444,-1.7991231855510607e-16,-1.7993932344777294e-16
0.24071383476257324,0.001352240006926935,0.0011643311010303662,-1.799402909711562e-16,-1.7991048366998481e-16
0.24187946319580078,0.0013522400069291636,0.0011643311010452882,-1.799105838316301e-16,-1.7996816322556103e-16
0.24213147163391113,0.0013522400069313923,0.0011643311010602103,-1.7993898992854922e-16,-1.7991503731910924e-16
0.24233055114746094,0.001352240006933621,0.0011643311010751324,-1.7994245937550117e-16,-1.7993628768168995e-16
0.24252915382385254,0.0013522400069358497,0.0011643311010900545,-1.799329183963833e-16,-1.7992999930908953e-16
0.24271249771118164,0.0013522400069380784,0.0011643311011049764,-1.7993400259855579e-16,-1.799540685973187e-16
0.2428891658782959,0.001352240006940307,0.0011643311011198983,-1.7993335207725229e-16,-1.7992110885127514e-16
0.24309754371643066,0.0013522400069425357,0.0011643311011348201,-1.7993356891768678e-16,-1.7990029216956342e-16
0.2502763271331787,0.0013522400069447644,0.001164331101149742,-1.7992164269378945e-16,-1.799397571286419e-16
0.2525951862335205,0.0013522400069469929,0.0011643311011646639,-1.79916655363796e-16,-1.7992631302170307e-16
0.25731444358825684,0.0013522400069492214,0.0011643311011795858,-1.7991296907640955e-16,-1.799258793408341e-16
0.258406400680542,0.0013522400069514498,0.0011643311011945074,-1.7993942360941818e-16,-1.7993043298995852e-16
0.2595081329345703,0.0013522400069536783,0.001164331101209429,-1.799465793437566e-16,-1.7995103283123575e-16
0.2646608352661133,0.0013522400069559068,0.0011643311012243507,-1.799530845567915e-16,-1.7992089201084065e-16
0.26664066314697266,0.0013522400069581352,0.0011643311012392724,-1.7991860692770646e-16,-1.799404076499454e-16
0.2679727077484131,0.0013522400069603637,0.001164331101254194,-1.7991839008727197e-16,-1.7993758872429693e-16
0.2709476947784424,0.0013522400069625922,0.0011643311012691157,-1.7992077533205143e-16,-1.7996295905513308e-16
0.27730846405029297,0.0013522400069648206,0.0011643311012840374,-1.7992532898117586e-16,-1.7990506265912234e-16
0.2801642417907715,0.0013522400069670491,0.0011643311012989588,-1.7995590348243994e-16,-1.7991330259563323e-16
0.2820312976837158,0.0013522400069692776,0.0011643311013138802,-1.7989713972469124e-16,-1.7995862224644312e-16
0.28975582122802734,0.001352240006971506,0.0011643311013288017,-1.7997086547242026e-16,-1.7992848142604802e-16
0.3016183376312256,0.0013522400069737345,0.0011643311013437231,-1.7992511214074137e-16,-1.7993802240516589e-16
0.30196166038513184,0.001352240006975963,0.0011643311013586444,-1.7996956442981328e-16,-1.7992371093648907e-16
0.30228519439697266,0.0013522400069781915,0.0011643311013735656,-1.7992814790682433e-16,-1.7994170869255232e-16
0.30388522148132324,0.00135224000698042,0.0011643311013884868,-1.7992858158769331e-16,-1.7996946426816796e-16
0.3121984004974365,0.0013522400069826484,0.001164331101403408,-1.799303163111693e-16,-1.7992783090474452e-16
0.31252074241638184,0.0013522400069848766,0.0011643311014183292,-1.7993552048159723e-16,-1.7996317589556755e-16
0.31731367111206055,0.0013522400069871051,0.0011643311014332505,-1.7989063451165633e-16,-1.799443107777663e-16
0.3327486515045166,0.0013522400069893336,0.0011643311014481715,-1.799452783011496e-16,-1.799362876816899e-16
0.3372807502746582,0.0013522400069915618,0.0011643311014630925,-1.798999586503397e-16,-1.7996295905513305e-16
0.3429255485534668,0.00135224000699379,0.0011643311014780135,-1.7995612032287446e-16,-1.7994235921385582e-16
0.34867048263549805,0.0013522400069960183,0.0011643311014929345,-1.7994939826940506e-16,-1.7990961630824677e-16
0.34903717041015625,0.0013522400069982466,0.0011643311015078555,-1.7991210171467155e-16,-1.7994712970341477e-16
0.3492586612701416,0.0013522400070004748,0.0011643311015227765,-1.7991882376814095e-16,-1.799224098938821e-16
0.3543057441711426,0.001352240007002703,0.0011643311015376973,-1.7992706370465185e-16,-1.7995840540600862e-16
0.3579697608947754,0.0013522400070049314,0.001164331101552618,-1.7988955030948385e-16,-1.7993802240516589e-16
0.35998106002807617,0.0013522400070071596,0.0011643311015675389,-1.7994094149245965e-16,-1.7993303507517245e-16
0.36110854148864746,0.0013522400070093879,0.0011643311015824597,-1.7999233267543546e-16,-1.799213256917096e-16
0.368915319442749,0.0013522400070116161,0.0011643311015973805,-1.79913619597713e-16,-1.799811736516308e-16
0.37171506881713867,0.0013522400070138444,0.001164331101612301,-1.7992597950247934e-16,-1.7994756338428375e-16
0.3720693588256836,0.0013522400070160726,0.0011643311016272216,-1.7996414341895084e-16,-1.799139531169367e-16
0.37231898307800293,0.0013522400070183009,0.0011643311016421422,-1.7993183419421077e-16,-1.798992079673909e-16
0.373779296875,0.0013522400070205291,0.0011643311016570628,-1.799376888859422e-16,-1.7989747324391493e-16
0.37616634368896484,0.0013522400070227574,0.0011643311016719833,-1.798921523946978e-16,-1.799746684385959e-16
0.38989853858947754,0.0013522400070249856,0.001164331101686904,-1.799459288224531e-16,-1.799148204786747e-16
0.39026689529418945,0.0013522400070272139,0.0011643311017018245,-1.7990884910815408e-16,-1.7993542031995193e-16
0.3937947750091553,0.0013522400070294421,0.0011643311017167448,-1.7996891390850978e-16,-1.7994257605429034e-16
0.3952953815460205,0.0013522400070316702,0.0011643311017316652,-1.7994961510983953e-16,-1.7994344341602833e-16
0.4026937484741211,0.0013522400070338982,0.0011643311017465856,-1.7993920676898367e-16,-1.7992479513866158e-16
0.4030189514160156,0.0013522400070361262,0.001164331101761506,-1.7995004879070851e-16,-1.7992631302170305e-16
0.4202544689178467,0.0013522400070383543,0.0011643311017764263,-1.7993205103464526e-16,-1.7995536963992566e-16
0.42072129249572754,0.0013522400070405823,0.0011643311017913464,-1.7998582746240055e-16,-1.799141699573712e-16
0.4209883213043213,0.0013522400070428103,0.0011643311018062665,-1.7994549514158408e-16,-1.7991373627650222e-16
0.421344518661499,0.0013522400070450384,0.0011643311018211867,-1.7993985729028717e-16,-1.7991698888301967e-16
0.4227476119995117,0.0013522400070472664,0.0011643311018361068,-1.799311836729073e-16,-1.7994929810775974e-16
0.423022985458374,0.0013522400070494944,0.001164331101851027,-1.7991882376814095e-16,-1.799525507142772e-16
0.4233133792877197,0.0013522400070517225,0.001164331101865947,-1.7993161735377628e-16,-1.799605738103536e-16
0.4247448444366455,0.0013522400070539505,0.001164331101880867,-1.7994267621593564e-16,-1.7994300973515932e-16
0.4316437244415283,0.0013522400070561786,0.001164331101895787,-1.799235942576999e-16,-1.7997683684294086e-16
0.43189454078674316,0.0013522400070584066,0.0011643311019107069,-1.7992706370465185e-16,-1.7990376161651534e-16
